designation,ra,dec,j_m
18433598+1016311,280.899918,10.275315,6.548
18255024+1112330,276.459358,11.209172,6.246
18245172+1118297,276.215509,11.308253,6.607
18285504+1012187,277.229367,10.205217,6.712
18273360+1027465,276.890007,10.46292,6.669
18271346+1032330,276.806098,10.542507,5.942
18275013+1032073,276.958892,10.53538,6.518
18283269+1122063,277.136224,11.368422,6.552
18284493+1052021,277.187213,10.867269,6.924
18340446+0852290,278.518591,8.874726,6.734
18321432+1000164,278.059701,10.004576,6.132
18302043+0958107,277.585144,9.969643,6.891
18314415+0921164,277.93396,9.354579,6.276
18311511+0935548,277.812973,9.598574,6.452
18322106+0921296,278.087779,9.358236,6.794
18330712+1121149,278.279688,11.354155,6.455
18344749+1053311,278.697881,10.891995,6.29
18333241+1022130,278.385055,10.370291,6.413
18345679+1028198,278.736645,10.472169,6.458
18325884+1051319,278.245205,10.858871,6.925
18321613+1102546,278.06722,11.048519,6.036
18333323+1048419,278.388483,10.811652,6.198
18324018+1010473,278.167449,10.179825,6.629
18314722+1044224,277.94678,10.739569,6.353
18305631+1045515,277.734647,10.764311,5.944
18295713+1028589,277.488057,10.483039,6.245
18303841+1021192,277.660072,10.355351,6.401
18450168+0619361,281.257021,6.326697,5.977
18453006+0701584,281.375267,7.032905,6.568
18435162+0703062,280.965113,7.051727,6.974
18452372+0657245,281.348853,6.956815,6.922
18422373+0641313,280.598908,6.692039,6.509
18424493+0658530,280.687241,6.981406,6.654
18415868+0703443,280.494539,7.062317,6.495
18452212+0634248,281.342206,6.573571,6.376
18435778+0639034,280.990751,6.650946,6.975
18454606+0826122,281.44192,8.436735,6.177
18454636+0829230,281.443189,8.489738,6.231
18460848+0810130,281.535362,8.170305,6.543
18452926+0808562,281.371921,8.148947,6.947
18415650+0823407,280.485424,8.394654,6.136
18412832+0822328,280.368011,8.375799,6.278
18432256+0821045,280.844003,8.35125,6.293
18453519+0754078,281.396656,7.902186,6.328
18434413+0819371,280.93389,8.326976,6.137
18441293+0806571,281.053916,8.115875,6.999
18372714+0754517,279.363117,7.914373,6.307
18362629+0816192,279.109578,8.272006,6.491
18400426+0745465,280.017789,7.762944,5.608
18385617+0818243,279.734075,8.306757,6.921
18381173+0822446,279.548897,8.379062,6.836
18403014+0814282,280.125618,8.24118,6.693
18405632+0817503,280.234708,8.29732,6.275
18403277+0822483,280.136576,8.380084,6.639
18412173+0754131,280.34058,7.903647,6.955
18421283+0801116,280.553491,8.01991,6.281
18420916+0801180,280.538188,8.021672,6.782
18454638+0713122,281.443271,7.220077,6.835
18443197+0729158,281.133216,7.487735,6.829
18425396+0731112,280.724869,7.519792,6.903
18421697+0736267,280.570741,7.60742,6.116
18353525+0903595,278.896905,9.066549,6.491
18354077+0857595,278.919914,8.966542,6.595
18401316+0840128,280.05487,8.670234,6.351
