designation,ra,dec,j_m
23010198+3727302,345.258284,37.458389,6.793
23000891+3734311,345.037154,37.575333,6.592
23040979+3717020,346.040798,37.283913,5.769
23023455+3713258,345.643976,37.223843,6.845
23024803+3714574,345.700128,37.249283,6.936
23234628+4029353,350.942838,40.49316,6.653
23222023+3950582,350.584314,39.849522,6.545
23225727+3945412,350.738625,39.761452,6.751
23111104+4152315,347.796009,41.875423,5.411
23112257+4046131,347.844077,40.770332,6.973
23114320+4031220,347.930016,40.522793,6.05
23164979+4057187,349.207471,40.955219,6.67
23135834+4046437,348.49312,40.778809,6.743
23135367+3802153,348.47366,38.037605,6.01
23152818+3818012,348.867419,38.300358,5.765
23153933+3908552,348.913881,39.148685,6.931
23162304+3857327,349.096008,38.959091,6.034
23150783+3959235,348.782659,39.98988,6.245
23194444+3917200,349.935192,39.288891,5.772
23171574+4039411,349.315612,40.661423,6.594
22524671+4225170,343.194655,42.421406,6.848
22592255+4251530,344.843983,42.864731,6.997
22562738+4311511,344.114104,43.197536,6.315
22544390+4230386,343.682947,42.510738,6.54
22562341+4246300,344.097577,42.775017,6.538
22592196+4052592,344.841535,40.883137,5.664
22555676+4120061,343.986535,41.335033,6.39
22570214+4053570,344.258942,40.899181,6.355
22572033+4032099,344.33472,40.53611,6.704
23060970+4147234,346.540435,41.789841,5.482
23063431+4152389,346.642967,41.87748,6.902
23031525+4232325,345.813548,42.542385,6.902
23025489+4228563,345.728744,42.482319,6.446
23024363+4116416,345.681792,41.278248,5.902
23042804+4133256,346.116871,41.557125,6.735
23045413+4126051,346.225543,41.43475,6.152
23054919+4146135,346.454986,41.770439,6.936
23045818+4159114,346.242431,41.986515,6.755
22595051+4205390,344.96049,42.094193,6.483
22594815+4219352,344.95066,42.326447,5.968
22555293+4158321,343.970573,41.975586,5.663
22560074+4137034,344.003089,41.617626,5.87
22562365+4136139,344.098561,41.60387,5.879
23063078+4129022,346.628266,41.483967,6.334
23071293+4125369,346.803883,41.426941,5.892
23102928+4119187,347.622017,41.321873,6.796
23040514+4044144,346.021458,40.737354,6.385
23054243+4035467,346.4268,40.596329,6.732
23080677+4107115,347.028218,41.119888,6.465
23081294+4101399,347.053917,41.02776,6.653
22573695+3923196,344.403998,39.388798,5.5
22593734+3950027,344.905611,39.834091,5.672
23020238+3959512,345.509935,39.997566,6.594
23022040+4015309,345.58504,40.258591,5.799
23112585+3813112,347.857749,38.219788,6.987
23112101+3945288,347.837571,39.758022,6.005
23095243+3928091,347.468488,39.4692,6.194
23062345+3834112,346.597722,38.569801,5.791
23063498+3834583,346.64576,38.582882,6.955
23075218+3903460,346.967427,39.062805,5.728
23091677+3825418,347.319889,38.428303,6.422
23093470+4011009,347.394585,40.183598,6.52
23103708+4001476,347.654528,40.029911,6.13
23090693+3941170,347.278881,39.688057,5.915
23091412+4008013,347.308867,40.133698,6.314
23064411+4016385,346.683821,40.277363,6.328
23074786+3947468,346.949455,39.796337,6.96
23065234+3934223,346.718094,39.572872,6.731
22553495+4321104,343.895629,43.352905,6.988
22543246+4335328,343.635289,43.592468,6.488
22594570+4321418,344.940434,43.361618,6.69
22583303+4410442,344.63764,44.178951,6.54
23085859+4308504,347.244165,43.147339,6.996
23025634+4303493,345.734752,43.063721,6.417
23025777+4253077,345.74071,42.885487,5.943
23081431+4313007,347.059642,43.216869,6.339
23062320+4602224,346.596688,46.03957,5.959
23002717+4456408,345.11322,44.944672,5.824
23031366+4447231,345.806932,44.789764,6.905
23013394+4530367,345.391447,45.510212,5.831
23003439+4522294,345.143308,45.37484,5.646
23072922+4429499,346.871783,44.497219,6.823
23070003+4430122,346.750133,44.503395,6.112
23051479+4434242,346.311657,44.573414,6.66
23030342+4459169,345.764252,44.988029,6.301
23054733+4353051,346.447215,43.88475,5.673
01515169+4517291,27.965395,45.29142,6.522
01513659+4500216,27.902495,45.006001,6.644
01492200+4231265,27.341674,42.524044,6.777
01463201+4350406,26.633379,43.844627,6.277
01565188+4412260,29.216168,44.207226,6.748
01554598+4250399,28.941605,42.844444,6.653
01565195+4313077,29.21646,43.218822,6.846
01532077+4407412,28.336571,44.12812,6.761
01510739+4331306,27.780806,43.525181,5.752
01375053+3801194,24.460548,38.022083,6.507
01374058+3845084,24.419112,38.75235,6.629
01381556+3849020,24.564854,38.81723,6.621
01373205+3830583,24.383572,38.51622,6.526
01384673+3839072,24.69471,38.652012,5.989
01444404+3826120,26.183539,38.436672,6.649
01440938+3831193,26.039093,38.52203,6.162
01400342+3858107,25.014276,38.969658,6.796
01411597+3823450,25.316563,38.395851,6.493
01405170+3834042,25.215455,38.567852,6.562
01504800+3949071,27.700016,39.818661,6.867
01494312+3840536,27.429691,38.681583,6.113
01491819+3927068,27.325826,39.451889,6.517
01424867+4136244,25.702825,41.606789,6.386
01424418+4118463,25.684093,41.312874,6.915
01461959+4058597,26.581659,40.983273,6.873
01440030+4102294,26.001251,41.041519,6.616
01474286+4008105,26.928613,40.136269,6.115
01482982+4016312,27.124281,40.275349,6.723
01420291+3928178,25.512165,39.471622,6.685
01434082+3943276,25.920092,39.724339,6.898
01463588+4133070,26.649512,41.551949,6.026
01483890+4057384,27.162119,40.96069,6.858
01513495+4156392,27.895655,41.944229,6.747
01582429+4054490,29.601234,40.913612,6.665
01575546+4045382,29.481107,40.760635,5.912
01533890+3952591,28.412108,39.883102,6.691
01561025+3955208,29.042714,39.922459,6.841
01544240+3956572,28.676704,39.949242,5.724
01550117+4206425,28.754889,42.111816,5.591
01594321+4120594,29.930056,41.349846,5.896
01575635+4141404,29.484824,41.694576,6.804
01580277+4205529,29.511564,42.09803,6.912
01542824+4053228,28.617688,40.889687,6.551
01544139+4138285,28.67247,41.641266,6.795
01204055+5135412,20.168977,51.594803,6.946
01205871+5017585,20.244665,50.299603,6.745
01190899+5041277,19.787471,50.69104,6.185
01251697+5029158,21.320723,50.487724,6.286
01242708+5029213,21.112838,50.48925,6.189
01220238+5036181,20.509939,50.605049,5.888
01231686+5056348,20.820275,50.943001,6.523
01162450+4804561,19.102086,48.082253,6.554
01173029+4829473,19.376217,48.496479,5.951
01180581+4946059,19.524218,49.76833,5.948
01323116+4928459,23.129843,49.479431,6.682
01340901+4919342,23.537547,49.32618,6.554
01294229+4949317,22.426235,49.825497,6.972
01271060+4912262,21.794189,49.207279,6.727
01211794+4938101,20.324752,49.636143,6.849
01233822+4951143,20.909291,49.853977,6.524
01131318+4409124,18.304921,44.153454,6.858
01101816+4430552,17.575685,44.515343,6.813
01110746+4503545,17.781085,45.065155,6.901
01142712+4456094,18.613025,44.935955,6.943
01252393+4536098,21.349747,45.602741,6.961
01134165+4712274,18.423551,47.207634,5.907
01161980+4727314,19.082509,47.45874,6.806
01153392+4707455,18.891347,47.129322,6.092
01114688+4556338,17.945343,45.942726,5.917
01131878+4602430,18.328254,46.045284,6.837
01154234+4612181,18.926454,46.205051,6.061
01141986+4603032,18.582786,46.050892,6.776
01192727+4621067,19.863626,46.351871,6.544
01202658+4601302,20.11075,46.02507,6.901
01183267+4437020,19.636166,44.617233,6.782
01200390+4514122,20.016252,45.236744,5.9
01171545+4535467,19.314376,45.596317,6.161
01490615+4625459,27.275652,46.429417,5.836
01462372+4627066,26.598849,46.451839,6.543
01474801+4613468,26.950047,46.229694,5.462
01441977+4708498,26.082394,47.147171,6.91
01454547+4642040,26.439496,46.701134,5.97
01364674+4818555,24.194776,48.315441,6.67
01374449+4824459,24.435383,48.412769,5.855
01362273+4719328,24.094746,47.325798,5.6
01414277+4740138,25.428225,47.670502,6.846
01371345+4736033,24.306042,47.600941,6.666
01392878+4815135,24.869955,48.253754,6.519
01363909+4804226,24.162889,48.072945,6.014
01325047+4537316,23.210296,45.625454,5.851
01343644+4603473,23.651849,46.063145,6.013
01392465+4549422,24.852734,45.828411,6.833
01393600+4552401,24.900038,45.877827,5.353
01393992+4706565,24.916356,47.115707,6.763
01413689+4640091,25.403734,46.669212,6.008
01414291+4715574,25.428806,47.265949,6.035
01371691+4627344,24.320464,46.459583,6.88
01284242+4538013,22.176776,45.633709,5.759
01242104+4601200,21.087704,46.022247,5.99
01264774+4611445,21.698933,46.195721,6.692
01303547+4753494,22.647811,47.897079,6.066
01310434+4734432,22.768097,47.578678,6.88
01324034+4745430,23.168118,47.761951,6.776
01295361+4811565,22.473415,48.199043,6.634
01322676+4805058,23.111509,48.084965,5.98
01172576+4723126,19.357354,47.386848,6.927
01182708+4748047,19.612862,47.801315,6.963
01182787+4745545,19.616143,47.765148,5.974
01203468+4707439,20.144539,47.128883,6.937
01200203+4809278,20.008479,48.157734,6.354
01245905+4818557,21.246063,48.315491,5.546
18213867-1935077,275.411125,-19.585478,6.279
18210717-1935301,275.279897,-19.591707,6.592
18203731-1948507,275.155468,-19.814095,6.499
18223178-1921376,275.632454,-19.36046,6.935
18235450-1932064,275.977101,-19.535112,6.891
18220236-1941403,275.509856,-19.694555,6.334
18193405-1943542,274.891875,-19.731747,6.056
18193210-1944082,274.883751,-19.735632,6.941
18201765-1935445,275.073581,-19.595703,5.879
18200174-1923435,275.007258,-19.395443,6.457
18200431-1930198,275.017963,-19.505526,6.951
18194074-1929135,274.919782,-19.487104,6.844
18212639-1834140,275.359968,-18.570562,6.843
18221261-1911176,275.552549,-19.188236,6.991
18215456-1908075,275.47734,-19.135418,6.886
18215176-1856292,275.465687,-18.941469,6.793
18230594-1856191,275.774754,-18.938654,6.372
18181660-1836422,274.569199,-18.611748,6.571
18185780-1838042,274.740847,-18.634518,6.789
18182668-1906513,274.611206,-19.114256,6.022
18205628-1844349,275.234519,-18.743046,6.554
18210415-1844243,275.267319,-18.740088,6.966
18191364-1903237,274.806855,-19.056585,6.967
18212561-1916191,275.356739,-19.271999,6.967
18213760-1913285,275.406704,-19.224602,6.779
18233622-2014411,275.900917,-20.244755,6.678
18240549-2016218,276.022879,-20.272741,6.306
18232343-2019455,275.847651,-20.329317,6.52
18201619-2003468,275.067484,-20.063019,6.949
18192212-2009296,274.842172,-20.158241,6.748
18203255-2012586,275.135649,-20.216282,6.346
18193994-2017209,274.91643,-20.289148,6.133
18191479-2118394,274.811646,-21.310972,6.921
18215378-2050593,275.47411,-20.849815,6.643
18220458-2036382,275.519087,-20.61062,6.652
18211666-2050276,275.319453,-20.841013,6.912
18122864-2021294,273.119338,-20.358171,6.798
18144532-1957251,273.688857,-19.95698,6.822
18142060-2006151,273.585842,-20.104216,6.279
18142999-2006148,273.624995,-20.104128,6.192
18134326-1958183,273.430251,-19.971777,6.605
18124758-2008257,273.198267,-20.140482,6.915
18131853-2112564,273.327238,-21.215679,6.549
18125243-2111514,273.218482,-21.19763,6.189
18131358-2105292,273.306588,-21.091467,6.387
18151291-2043418,273.803797,-20.728285,5.209
18130244-2041053,273.260181,-20.68482,6.477
18155235-2036125,273.968125,-20.603476,6.762
18151297-2023167,273.804046,-20.38798,5.872
18152118-1956175,273.838273,-19.938219,6.996
18150013-2002317,273.750544,-20.042143,6.764
18150831-2015293,273.784628,-20.258165,5.996
18134137-2028556,273.422415,-20.482136,6.107
18142161-2029166,273.590066,-20.487955,6.742
18131352-2247162,273.306372,-22.787859,6.988
18131563-2249181,273.315139,-22.821716,6.597
18143814-2220243,273.658937,-22.340111,6.267
18131219-2215027,273.300796,-22.250755,6.535
18182951-2134430,274.622982,-21.57863,6.985
18162868-2200537,274.119524,-22.014942,6.594
18164816-2142065,274.200687,-21.701822,6.529
18165231-2150156,274.217969,-21.837688,6.956
18145765-2128305,273.740226,-21.475157,6.224
18144028-2143482,273.667856,-21.730076,6.671
18134745-2201350,273.447726,-22.026402,6.745
18144912-2200192,273.704684,-22.005354,5.908
18132504-2118477,273.354364,-21.313276,6.95
18141452-2122130,273.560538,-21.370302,6.488
18141143-2108451,273.547633,-21.145887,6.208
18135551-2108346,273.481303,-21.142965,6.517
18153257-2054194,273.885746,-20.905415,6.09
18150218-2052163,273.759114,-20.871218,5.634
18151224-2053145,273.801033,-20.887384,6.123
18151862-2054288,273.827619,-20.908014,6.858
18190270-2131320,274.761287,-21.525579,6.649
18185403-2118118,274.725166,-21.303288,6.93
18180343-2128111,274.514331,-21.469774,6.825
18164558-2127570,274.189952,-21.465839,6.443
18181018-2114558,274.542427,-21.248857,5.848
18170853-2034263,274.285557,-20.57398,6.568
18164600-2049322,274.191679,-20.825634,6.079
18160371-2115072,274.015475,-21.252001,6.752
18171441-2053414,274.310042,-20.894848,6.91
18165886-2058457,274.245275,-20.979387,6.846
18502118-2340254,282.588266,-23.673735,6.196
18510805-2345139,282.783577,-23.753876,6.648
18510609-2303054,282.775389,-23.0515,6.593
18484421-2325287,282.184212,-23.424665,6.683
18494939-2321443,282.455809,-23.362328,6.915
18503905-2125003,282.66272,-21.416771,6.85
18460094-2207229,281.50394,-22.123034,6.904
18470106-2151094,281.754453,-21.852625,6.941
18473186-2203124,281.882759,-22.053453,6.81
18505048-2209438,282.71036,-22.162184,5.521
18511870-2201071,282.827956,-22.01865,6.555
18511924-2201010,282.830176,-22.016956,6.87
18483809-2145117,282.15873,-21.753275,6.345
18455557-2339323,281.481561,-23.658989,6.78
18450043-2338179,281.251807,-23.638319,6.555
18453342-2338092,281.389285,-23.635908,5.912
18444655-2332529,281.193986,-23.548054,6.593
18444583-2230518,281.190973,-22.514406,6.845
18434272-2240135,280.928018,-22.670441,6.919
18445054-2245130,281.210586,-22.753614,6.237
18442158-2316127,281.089936,-23.27021,6.39
18442445-2316035,281.101906,-23.267641,6.617
18424863-2315575,280.702657,-23.265978,6.993
18430411-2303055,280.76716,-23.051542,6.738
08573833-4647143,134.409732,-46.787331,6.819
09034707-4601414,135.946159,-46.028175,6.829
08582675-4605412,134.611492,-46.094791,6.838
08584326-4604415,134.680259,-46.078197,6.457
09001728-4555351,135.072023,-45.926418,6.389
09020894-4632198,135.537288,-46.538834,6.83
09022973-4633421,135.623911,-46.561695,6.961
09073533-4409198,136.897209,-44.15551,5.799
09084487-4357207,137.186993,-43.955772,6.486
09034880-4430095,135.953368,-44.50264,5.871
09035021-4400255,135.959236,-44.007111,6.352
09063083-4538457,136.628471,-45.646049,6.788
09061024-4539306,136.542695,-45.658501,6.119
09040710-4456230,136.029623,-44.939728,6.797
09065863-4513063,136.744304,-45.218422,6.822
09074253-4437568,136.927219,-44.63245,6.779
09063835-4415348,136.659823,-44.259693,6.739
09065114-4419036,136.713119,-44.31768,6.951
08491352-4354416,132.306334,-43.911579,6.305
08515002-4409033,132.958441,-44.150928,6.611
08535490-4522376,133.478782,-45.377136,5.948
08551918-4502298,133.829954,-45.041626,6.563
08562815-4412167,134.117311,-44.204647,6.294
08553316-4449311,133.888199,-44.82531,6.507
08544480-4436391,133.686675,-44.610867,6.947
09051386-4542497,136.307781,-45.71381,5.936
09034431-4537065,135.934654,-45.618477,6.975
09034126-4533396,135.921922,-45.561005,6.662
09011416-4522196,135.309027,-45.372124,6.864
10121490-2454461,153.062098,-24.912813,6.287
10072468-2456069,151.852869,-24.935259,5.892
10075177-2422598,151.965742,-24.383293,6.75
10065053-2442567,151.710546,-24.715767,6.181
10085829-2503365,152.242883,-25.060146,6.051
10080218-2457514,152.009114,-24.964281,6.634
10095913-2508026,152.496406,-25.134056,6.767
09581399-2507520,149.558324,-25.131119,6.638
10073054-2708075,151.877274,-27.135443,6.64
10055246-2716300,151.468608,-27.275024,5.408
10033983-2654339,150.915968,-26.90943,6.729
10062552-2635527,151.606344,-26.597977,6.069
10043463-2708502,151.144325,-27.147282,5.926
10023184-2557050,150.632704,-25.951389,6.424
10034162-2519002,150.923438,-25.316736,6.565
10035447-2528062,150.976987,-25.468414,6.616
10052828-2540575,151.36787,-25.682653,6.96
09450410-2502547,146.26712,-25.048553,6.999
09495341-2635456,147.47255,-26.596016,6.806
09501833-2713170,147.576415,-27.221399,6.978
09455349-2647344,146.472911,-26.792904,6.461
09462165-2716339,146.590248,-27.276094,6.234
09464193-2447143,146.674749,-24.787321,6.868
09491020-2513399,147.292528,-25.227774,6.779
09495917-2552351,147.496542,-25.876417,6.869
09522111-2519006,148.087959,-25.316847,6.951
09494592-2601069,147.441351,-26.018606,6.758
09484283-2624520,147.178485,-26.414446,5.719
09483291-2532309,147.137151,-25.541941,6.694
09473372-2518117,146.89054,-25.303261,6.717
09455626-2522488,146.48445,-25.380236,6.749
09460049-2615357,146.502052,-26.259932,6.148
09441273-2554330,146.053075,-25.909176,6.007
09445950-2633460,146.247954,-26.56279,6.952
09452511-2547484,146.354629,-25.796804,6.968
10013761-3048101,150.406727,-30.802807,6.76
10041779-2822432,151.074129,-28.378693,6.337
10044902-2811191,151.204256,-28.188665,6.958
10062697-2838556,151.612388,-28.648788,5.965
10051201-2811494,151.30008,-28.197058,6.91
09594668-2820104,149.944536,-28.336239,5.566
10033742-2902360,150.905925,-29.043341,6.86
10042011-2851540,151.083806,-28.865005,6.828
09500276-2853070,147.511532,-28.885288,5.684
09510285-2827593,147.761893,-28.466475,6.805
09544188-2931138,148.674501,-29.5205,5.916
09551237-2832121,148.801546,-28.536707,5.945
09542463-2849313,148.602655,-28.825365,6.877
09520656-2904161,148.027359,-29.071142,6.562
09575588-2845147,149.482871,-28.754091,6.341
09563612-3007232,149.150523,-30.123138,6.636
09563553-2956161,149.148072,-29.937815,6.952
09564746-2953442,149.19776,-29.895622,6.095
09584367-2918172,149.681964,-29.304802,5.383
09580828-2937162,149.534531,-29.62118,6.45
09541512-2800195,148.563013,-28.005444,6.407
09522773-2705324,148.115574,-27.092344,6.559
10042655-2743438,151.110666,-27.728853,6.924
10014468-2627511,150.43618,-26.464203,5.728
10025924-2704022,150.746849,-27.067287,6.374
10032222-2721546,150.842611,-27.365177,6.547
09540673-2528103,148.528048,-25.469543,5.788
09561489-2504490,149.062059,-25.080288,5.617
09532126-2609381,148.338611,-26.160604,5.949
09591961-2611210,149.83172,-26.189178,5.995
09550632-2632198,148.776355,-26.538857,6.878
09571659-2801341,149.319161,-28.026159,5.684
09565409-2728306,149.225403,-27.475183,5.937
09572326-2718154,149.34693,-27.304295,6.706
09014312-2525581,135.4297,-25.432819,5.818
09022474-2603276,135.603114,-26.057684,6.633
09030883-2530151,135.786798,-25.504202,6.716
09021247-2524315,135.551977,-25.408768,6.812
09054565-2637115,136.440227,-26.619883,6.422
09054918-2545326,136.454952,-25.759075,5.915
09040571-2535541,136.023797,-25.598377,6.467
09044329-2548150,136.180401,-25.80418,6.705
09081051-2808128,137.043801,-28.136894,6.567
09075502-2808256,136.979253,-28.140472,6.566
01252573+4747197,21.357246,47.788818,6.452
01245829+4710080,21.242898,47.168903,6.298
01300153+4658268,22.506391,46.974136,6.955
01272014+4658125,21.833921,46.970146,6.03
01254085+4707067,21.420226,47.118542,5.962
01024313+3536388,15.679727,35.610798,6.99
01013476+3559434,15.394838,35.995392,6.301
01040028+3649596,16.001174,36.833237,5.944
01025087+3644140,15.711994,36.737225,6.811
01042253+3558450,16.09388,35.979191,5.721
01160408+3656181,19.017023,36.938374,6.895
01111025+3743268,17.792712,37.724113,5.934
01043993+3853526,16.166389,38.897968,6.633
01041648+3752426,16.068693,37.878517,6.666
01095734+3815489,17.488944,38.263592,6.682
01094531+3807283,17.43882,38.12455,6.957
01084654+3826073,17.193956,38.435375,6.204
01070918+3839016,16.788253,38.650452,6.577
01050922+3828351,16.288425,38.476425,6.405
01072137+3626508,16.839065,36.447453,6.812
01084669+3710495,17.19456,37.18042,6.574
01303657+3846457,22.6524,38.779366,6.558
01324198+3827008,23.17495,38.450249,6.187
01321555+3816191,23.064815,38.271976,5.688
01231286+4036376,20.803614,40.610466,6.149
01251443+4018503,21.31014,40.313995,6.755
01271432+3939156,21.809699,39.654339,6.981
01244111+3956406,21.171293,39.944622,6.636
01184699+3723106,19.695829,37.386284,6.063
01234063+3742537,20.919292,37.714935,5.06
01233572+3710510,20.898869,37.180836,6.797
01233188+3731031,20.88285,37.517555,6.926
01241210+3731414,21.050435,37.528194,6.239
01210400+3802031,20.266667,38.034222,6.726
01230864+3750561,20.786005,37.848938,6.106
01243086+3901300,21.128597,39.025021,6.125
01265380+3729321,21.724181,37.492256,6.537
01253563+3758428,21.398485,37.97858,6.341
01104192+4255547,17.674677,42.93187,6.346
01090303+4219496,17.26266,42.330463,6.73
01115096+4203238,17.962358,42.056618,6.823
01115414+4213350,17.975599,42.226395,5.974
01104123+4208150,17.671807,42.137527,6.33
01104859+4220589,17.702477,42.349697,6.679
01044753+3959121,16.19806,39.98671,6.984
01081230+4039385,17.051259,40.660702,6.982
01091035+4024243,17.293147,40.406776,6.236
01161438+4038565,19.05993,40.649029,6.579
01121707+4054397,18.071134,40.911045,6.817
01124606+4056248,18.191957,40.940247,5.957
01130603+4139152,18.275151,41.654247,5.762
01150671+4148064,18.777977,41.801785,6.88
01120413+4137417,18.01722,41.628265,6.594
01111459+4113175,17.810831,41.22155,6.258
01133430+4109027,18.392944,41.150764,5.866
01200949+3905368,20.039552,39.093582,6.814
01171661+3928500,19.31921,39.480564,6.556
01193408+4007385,19.892032,40.127384,6.301
01185314+3957477,19.721442,39.963272,5.684
01054996+3922269,16.458172,39.374142,5.747
01075875+3915090,16.994804,39.252522,6.623
01165707+3827386,19.237813,38.460724,6.166
01135018+3739136,18.459086,37.653801,6.548
01165634+3756346,19.234781,37.94297,6.772
01181965+3846578,19.581911,38.78273,6.077
01192052+3854514,19.835531,38.914303,6.797
01133268+3957211,18.386191,39.955868,5.986
01144412+3926587,18.683841,39.449661,5.947
01131016+3904129,18.292361,39.070263,6.16
01134811+3904501,18.450471,39.080585,6.399
01152579+3829115,18.857463,38.486542,6.494
01092947+4339383,17.372821,43.660648,6.218
01115054+4345083,17.960593,43.752331,5.89
01141778+4302360,18.574088,43.043346,5.918
01151417+4249491,18.809079,42.830307,6.599
01172856+4403534,19.369024,44.06485,6.17
01162902+4407518,19.120922,44.131058,6.469
01135973+4327059,18.498903,43.45166,6.967
01150725+4323151,18.780217,43.38755,6.534
01200491+4158137,20.020497,41.97049,6.272
01261497+4433152,21.562375,44.554226,6.511
01201600+4416303,20.066707,44.275101,6.692
01224638+4437202,20.69325,44.622303,6.171
01264311+4341307,21.679632,43.691864,6.151
01231554+4401296,20.814787,44.024906,6.706
01241868+4308315,21.077859,43.142101,6.457
01200821+4357094,20.034213,43.952614,6.655
01193728+4250519,19.90535,42.847775,6.596
01181107+4248446,19.546163,42.812389,5.885
01213153+4258285,20.381393,42.974602,6.961
01212130+4257164,20.33879,42.954563,6.831
01221259+4335027,20.552475,43.584099,6.904
01210635+4314019,20.276473,43.233868,5.653
01195301+4312379,19.970877,43.210545,6.371
01310921+3923248,22.788376,39.390247,6.363
01341981+3938223,23.58255,39.639538,6.495
01352957+3859352,23.873228,38.993114,6.788
01380470+4110448,24.519596,41.179127,6.155
01264005+4032522,21.666899,40.54784,6.885
01272666+4106042,21.861085,41.10117,5.825
01301081+4016492,22.545061,40.280342,6.584
01274688+4020088,21.945345,40.335781,6.501
01350812+4046554,23.783865,40.78207,6.529
01333644+4059422,23.401841,40.995064,6.235
01333389+4054055,23.391217,40.90155,6.705
01355649+3952541,23.985395,39.881706,5.986
01482350+4554571,27.097949,45.915863,6.631
01464021+4551022,26.667542,45.850636,6.917
01491751+4535332,27.32296,45.592571,6.812
01412785+4524517,25.366057,45.414371,6.921
22421941+4356470,340.580891,43.946407,6.819
22445668+4234380,341.23617,42.577248,6.954
22461302+4251354,341.55429,42.859837,6.215
22432871+4313449,340.869633,43.22916,6.662
22433734+4256507,340.905598,42.94743,6.563
22434487+4326002,340.936963,43.433414,6.487
22311964+4453015,337.831849,44.88377,6.755
22342393+4428075,338.59974,44.46875,5.77
22323209+4427174,338.13373,44.454838,5.87
22365778+4335575,339.240759,43.599316,5.696
22373368+4431421,339.390356,44.528378,6.395
22372989+4348400,339.374583,43.811123,6.882
22384746+4418499,339.69776,44.313866,5.672
22365713+4346162,339.238056,43.771179,6.872
22361710+4418568,339.071268,44.315796,5.838
22372497+4116310,339.354055,41.275299,6.519
22413380+4224484,340.390865,42.413471,6.355
22420858+4223456,340.535791,42.396004,6.003
22393957+4212037,339.914911,42.201031,6.94
22401363+4215095,340.056826,42.252659,5.965
22381756+4230490,339.573195,42.513626,6.83
22355002+4232111,338.958435,42.536442,6.383
22384506+4221388,339.687771,42.360802,6.649
22394365+4146022,339.931905,41.767303,6.413
22381304+4208461,339.554357,42.146164,6.559
22361627+4319366,339.067806,43.326855,6.49
22370072+4308244,339.25303,43.140137,6.661
22414918+4309262,340.454918,43.157303,6.069
22125341+4446156,333.222561,44.771015,6.902
22172524+4516469,334.355176,45.27972,5.707
22153153+4508462,333.881388,45.146187,6.013
22160093+4505208,334.003885,45.089127,6.583
22143423+4504558,333.642656,45.082176,6.207
22174478+4246576,334.43662,42.782681,6.925
22215237+4312583,335.46823,43.216206,6.17
22161590+4330596,334.066265,43.516567,6.395
22150128+4342595,333.755343,43.716545,6.974
22194780+4256586,334.949182,42.949623,6.918
22271109+4511051,336.796228,45.184753,5.754
22263594+4440070,336.649767,44.668633,6.887
22221158+4448300,335.54828,44.808338,6.959
22235564+4513479,335.981839,45.229977,6.486
22250585+4409085,336.274378,44.152363,6.152
22241643+4427082,336.068488,44.452286,6.727
22232697+4448384,335.862386,44.81068,6.493
22255546+4439477,336.481089,44.66325,6.822
22260641+4452156,336.526713,44.871021,6.764
22242406+4440181,336.100272,44.671719,6.714
22215826+4344418,335.492753,43.744946,5.924
22193692+4505015,334.903854,45.083752,6.799
22164695+4425501,334.195666,44.430595,6.876
22161943+4416482,334.080979,44.280075,6.526
22191932+4418100,334.830539,44.302795,6.969
22282156+3915380,337.089855,39.260582,6.276
22223941+3949342,335.664225,39.826172,6.515
22242628+3936067,336.109524,39.601883,6.581
22251634+3936438,336.318096,39.612183,6.427
22243782+3925503,336.157614,39.430656,6.832
22341648+4053398,338.568688,40.894405,6.822
22342631+4039461,338.609653,40.662811,6.67
22301287+4057557,337.553635,40.965488,6.453
22302839+3946094,337.61831,39.769295,6.16
22304303+3940203,337.679309,39.672325,6.669
22314359+4017030,337.931647,40.284168,6.863
22315467+4038522,337.977824,40.647835,6.896
22304998+4043195,337.708284,40.722095,6.935
22204945+4128591,335.206047,41.483109,5.934
22210174+4135531,335.257269,41.598091,6.137
22214911+4031428,335.454659,40.528572,5.761
22252941+4116490,336.372577,41.280289,6.961
22190371+4059365,334.765461,40.993488,6.855
22263766+4040159,336.656934,40.671097,6.372
22214609+4000351,335.442064,40.00975,6.249
22233249+4034459,335.885384,40.579418,6.761
22270514+3940190,336.771439,39.671951,5.874
22272650+3948360,336.860442,39.810005,6.405
22204496+4230438,335.187349,42.512184,6.837
22251213+4201544,336.30058,42.031792,5.921
22244341+4146225,336.180885,41.77293,5.855
22215207+4249332,335.466977,42.825912,6.82
22245057+4235446,336.210749,42.595726,6.158
22225754+4247115,335.739776,42.78653,6.597
22215086+4204413,335.461924,42.078163,6.54
22340842+4231099,338.535121,42.519417,6.882
22332915+4238552,338.37147,42.648674,6.423
22312019+4113067,337.834159,41.218552,5.86
22295624+4125245,337.484346,41.423481,5.748
22320353+4155416,338.014748,41.928238,6.145
22332650+4130151,338.360454,41.504215,6.905
22273753+4334483,336.906399,43.580109,6.74
22290821+4305527,337.284231,43.097992,6.008
22304319+4232562,337.679994,42.548965,6.624
22271621+4316152,336.817555,43.270908,6.15
22265306+4302005,336.721118,43.033497,6.948
22273196+4143165,336.883203,41.721256,6.533
22105500+2548509,332.729186,25.81414,6.041
22103739+2523316,332.65582,25.392113,6.569
22081746+2418445,332.072751,24.312368,6.192
22100362+2433588,332.515113,24.566351,6.912
22100902+2506109,332.537599,25.103039,6.324
22033704+2657018,330.904348,26.9505,6.221
22092297+2632435,332.345745,26.545429,6.496
